timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874954.286,343.750,607.910,719.727,-1000.000,0.000
1748874954.289,-947.754,-743.652,-604.492,-192.383,0.000
1748874954.293,-1000.000,-1000.000,-1000.000,-921.875,0.000
1748874954.297,-220.703,-58.105,-185.059,833.984,0.000
1748874954.301,-842.773,-876.465,-984.375,-505.859,0.000
1748874954.305,546.387,771.973,-978.027,-1000.000,0.000
1748874954.309,-853.027,-557.617,-177.246,-177.734,0.000
1748874954.313,-1000.000,-1000.000,-1000.000,-986.816,0.000
1748874954.317,-215.332,-190.430,-185.547,-970.703,0.000
1748874954.321,-921.387,-958.496,-992.676,-169.434,0.000
1748874954.325,815.430,948.242,-951.172,-1000.000,0.000
1748874954.329,-540.039,-329.102,-59.082,-168.945,0.000
1748874954.332,-1000.000,-1000.000,-1000.000,999.512,0.000
